Questions	CustomResponse	PublicResponse	PublicTotalTokens	CustomTotalTokens	PublicResponseText	InputTokens	CustomResponseText
If you build a fort, drive a Ford, and fill out a form, then what do you eat soup with?	"[<OpenAIObject text_completion id=cmpl-6hWXBhgWjFJS0KTI6UrOJSO0JCmJF at 0x2218bcc7590> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": ""\n\nYou eat soup with a spoon.""
    }
  ],
  ""created"": 1675831185,
  ""id"": ""cmpl-6hWXBhgWjFJS0KTI6UrOJSO0JCmJF"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 9,
    ""prompt_tokens"": 24,
    ""total_tokens"": 33
  }
}, 200, 1.078252]"	[{'id': 'cmpl-6hWY734tahdzOzVJXWrUX5uQdKeMk', 'object': 'text_completion', 'created': 1675831243, 'model': 'text-davinci-003', 'choices': [{'text': '\n\nYou eat soup with a spoon.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 24, 'completion_tokens': 9, 'total_tokens': 33}}, 200]	33	33	You eat soup with a spoon.	24	You eat soup with a spoon.
You have two coins that equal 30 cents, and one of them is not a quarter. Which coins do you have?	"[<OpenAIObject text_completion id=cmpl-6hWXBuDHjZ4T1Oxr1aIYcb0kjxZjB at 0x2218d1fc540> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": ""\n\nYou have a dime and a nickel.""
    }
  ],
  ""created"": 1675831185,
  ""id"": ""cmpl-6hWXBuDHjZ4T1Oxr1aIYcb0kjxZjB"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 10,
    ""prompt_tokens"": 24,
    ""total_tokens"": 34
  }
}, 200, 0.431402]"	[{'id': 'cmpl-6hWY9Cs3frbX5gJGrClQw6Sx8UzZl', 'object': 'text_completion', 'created': 1675831245, 'model': 'text-davinci-003', 'choices': [{'text': '\n\nYou have a dime and a nickel.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 24, 'completion_tokens': 10, 'total_tokens': 34}}, 200]	34	34	You have a dime and a nickel.	24	You have a dime and a nickel.
A quarter and a nickel (the nickel is the one that isn’t a quarter)	"[<OpenAIObject text_completion id=cmpl-6hWXC3WNoTpPB3xRX0j6S3BzzzeAV at 0x22189fc31d0> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": """"
    }
  ],
  ""created"": 1675831186,
  ""id"": ""cmpl-6hWXC3WNoTpPB3xRX0j6S3BzzzeAV"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""prompt_tokens"": 19,
    ""total_tokens"": 19
  }
}, 200, 0.433156]"	[{'id': 'cmpl-6hWYB315qNpD8vfgYYI4NWNxtN8nL', 'object': 'text_completion', 'created': 1675831247, 'model': 'text-davinci-003', 'choices': [{'text': '', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 19, 'total_tokens': 19}}, 200]	19	19		19	
If the assistant captain of a sports team were to die, who would lead the team?	"[<OpenAIObject text_completion id=cmpl-6hWXC30nuMMHVUQHbIFeGvw9cB48a at 0x2218dd1c040> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": ""\n\nIf the assistant captain of a sports team were to die, the captain would lead the team. Depending on the sport, the team may also elect a new assistant captain to help the captain lead the team.""
    }
  ],
  ""created"": 1675831186,
  ""id"": ""cmpl-6hWXC30nuMMHVUQHbIFeGvw9cB48a"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 43,
    ""prompt_tokens"": 18,
    ""total_tokens"": 61
  }
}, 200, 0.846334]"	"[{'id': 'cmpl-6hWYCeQkxnFWlcfDHIjULqak423Qx', 'object': 'text_completion', 'created': 1675831248, 'model': 'text-davinci-003', 'choices': [{'text': ""\n\nThe team's captain would take over as the leader of the team."", 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 18, 'completion_tokens': 16, 'total_tokens': 34}}, 200]"	34	61	The team's captain would take over as the leader of the team.	18	If the assistant captain of a sports team were to die, the captain would lead the team. Depending on the sport, the team may also elect a new assistant captain to help the captain lead the team.
If there are eight oranges in a bag and you take away two, how many do you have?	"[<OpenAIObject text_completion id=cmpl-6hWXDpR6ZUXifHJCTWPw6rG50AgTG at 0x2218dd1c360> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": ""\n\nYou would have six oranges.""
    }
  ],
  ""created"": 1675831187,
  ""id"": ""cmpl-6hWXDpR6ZUXifHJCTWPw6rG50AgTG"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 8,
    ""prompt_tokens"": 20,
    ""total_tokens"": 28
  }
}, 200, 0.435051]"	[{'id': 'cmpl-6hWYFuydybHRYpHp5bFe12ExCu1m5', 'object': 'text_completion', 'created': 1675831251, 'model': 'text-davinci-003', 'choices': [{'text': '\n\nSix oranges.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 20, 'completion_tokens': 5, 'total_tokens': 25}}, 200]	25	28	Six oranges.	20	You would have six oranges.
If seven adults can eat seven cupcakes in seven minutes, how long would it take 30 adults to eat 30 cupcakes?	"[<OpenAIObject text_completion id=cmpl-6hWXEaADQDXqLrSTWAS3qxOMMLBwf at 0x2218dd1c4f0> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": ""\n\n30 minutes.""
    }
  ],
  ""created"": 1675831188,
  ""id"": ""cmpl-6hWXEaADQDXqLrSTWAS3qxOMMLBwf"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 5,
    ""prompt_tokens"": 25,
    ""total_tokens"": 30
  }
}, 200, 0.318465]"	[{'id': 'cmpl-6hWYHLqQHwPrhtl4LdZj2vfieq40P', 'object': 'text_completion', 'created': 1675831253, 'model': 'text-davinci-003', 'choices': [{'text': '\n\nIt would take 30 adults approximately three minutes to eat 30 cupcakes.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 25, 'completion_tokens': 16, 'total_tokens': 41}}, 200]	41	30	It would take 30 adults approximately three minutes to eat 30 cupcakes.	25	30 minutes.
Seven minutes; one adult takes seven minutes to eat a cupcake	"[<OpenAIObject text_completion id=cmpl-6hWXEzS2DHiBcZzFUWMvlcSmDkZjb at 0x2218dd1c7c0> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": ""\n\nThe amount of time it takes an adult to eat a cupcake depends on the size of the cupcake, how hungry the adult is, and how quickly they eat. Generally, it takes about seven minutes for an adult to eat a cupcake.""
    }
  ],
  ""created"": 1675831188,
  ""id"": ""cmpl-6hWXEzS2DHiBcZzFUWMvlcSmDkZjb"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 52,
    ""prompt_tokens"": 13,
    ""total_tokens"": 65
  }
}, 200, 1.118973]"	"[{'id': 'cmpl-6hWYKUPhtH4EJmW5SlUpnvAssoCuK', 'object': 'text_completion', 'created': 1675831256, 'model': 'text-davinci-003', 'choices': [{'text': ""\n\nThe exact amount of time it takes for an adult to eat a cupcake depends on the size of the cupcake, the type of cupcake, and the individual's eating habits. Generally, it takes an adult around seven minutes to eat a cupcake."", 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 13, 'completion_tokens': 54, 'total_tokens': 67}}, 200]"	67	65	The exact amount of time it takes for an adult to eat a cupcake depends on the size of the cupcake, the type of cupcake, and the individual's eating habits. Generally, it takes an adult around seven minutes to eat a cupcake.	13	The amount of time it takes an adult to eat a cupcake depends on the size of the cupcake, how hungry the adult is, and how quickly they eat. Generally, it takes about seven minutes for an adult to eat a cupcake.
What is the answer to this question?	"[<OpenAIObject text_completion id=cmpl-6hWXFfaL5k2HmzRwXVEi89PC9zTTC at 0x2218dd1c860> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": ""\n\nThat depends on what the question is.""
    }
  ],
  ""created"": 1675831189,
  ""id"": ""cmpl-6hWXFfaL5k2HmzRwXVEi89PC9zTTC"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 10,
    ""prompt_tokens"": 8,
    ""total_tokens"": 18
  }
}, 200, 0.517103]"	[{'id': 'cmpl-6hWYRBv6b5nIk1gYTOe3pwcEdFv9G', 'object': 'text_completion', 'created': 1675831263, 'model': 'text-davinci-003', 'choices': [{'text': '\n\nThere is no single answer to this question as it is too vague.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 8, 'completion_tokens': 16, 'total_tokens': 24}}, 200]	24	18	There is no single answer to this question as it is too vague.	8	That depends on what the question is.
If Mrs. Smith’s rooster lays an egg in Mr. Brown’s yard, who owns the egg?	"[<OpenAIObject text_completion id=cmpl-6hWXGiqNHmuTFQdGZwRmRkOQSPoCo at 0x2218dd1cc70> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": ""\n\nMr. Brown owns the egg.""
    }
  ],
  ""created"": 1675831190,
  ""id"": ""cmpl-6hWXGiqNHmuTFQdGZwRmRkOQSPoCo"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 9,
    ""prompt_tokens"": 26,
    ""total_tokens"": 35
  }
}, 200, 0.515394]"	[{'id': 'cmpl-6hWYUDFnFjjxWgvwTwp4xEX7nGAwp', 'object': 'text_completion', 'created': 1675831266, 'model': 'text-davinci-003', 'choices': [{'text': '\n\nMr. Brown owns the egg.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 26, 'completion_tokens': 9, 'total_tokens': 35}}, 200]	35	35	Mr. Brown owns the egg.	26	Mr. Brown owns the egg.
No one; roosters don’t lay eggs	"[<OpenAIObject text_completion id=cmpl-6hWXGaOJqipvFfV0iQfOGysbJTJjv at 0x2218dd2d130> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": "". Roosters are male chickens, and only female chickens (hens) lay eggs.""
    }
  ],
  ""created"": 1675831190,
  ""id"": ""cmpl-6hWXGaOJqipvFfV0iQfOGysbJTJjv"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 18,
    ""prompt_tokens"": 12,
    ""total_tokens"": 30
  }
}, 200, 0.61368]"	[{'id': 'cmpl-6hWYWbF74ffX53l5uRrQGeun505kj', 'object': 'text_completion', 'created': 1675831268, 'model': 'text-davinci-003', 'choices': [{'text': '. Roosters are male chickens, and only female chickens (hens) lay eggs.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 12, 'completion_tokens': 18, 'total_tokens': 30}}, 200]	30	30	. Roosters are male chickens, and only female chickens (hens) lay eggs.	12	. Roosters are male chickens, and only female chickens (hens) lay eggs.
